SBDN	Presidente Prudente Airport	Presidente Prudente, São Paulo, Brazil
SBBH	Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport	Belo Horizonte, Minas Gerais, Brazil
SAZP	Comodoro Pedro Zanni Airport	Pehuajó, Buenos Aires, Argentina
SAWP	Perito Moreno Airport	Perito Moreno, Santa Cruz, Argentina
SAWD	Puerto Deseado Airport	Puerto Deseado, Santa Cruz, Argentina
SAVY	El Tehuelche Airport	Puerto Madryn, Chubut, Argentina
SARS	Presidencia Roque Sáenz Peña Airport	Presidencia Roque Sáenz Peña, Chaco, Argentina
SARP	Libertador General José de San Martín Airport	Posadas, Misiones, Argentina
SAAP	General Justo José de Urquiza Airport	Paraná, Entre Ríos, Argentina
RPVP	Puerto Princesa International Airport	Puerto Princesa, Philippines
RPMP	Pagadian Airport	Pagadian, Philippines
RKPK	Gimhae International Airport	Busan, South Korea
RCDC	Pingtung South Airport[1]	Pingtung City, Taiwan
PTPN	Pohnpei International Airport	Pohnpei, Federated States of Micronesia
PPIZ	Point Lay LRRS Airport	Point Lay, Alaska, United States
PHPA	Port Allen Airport	Hanapepe, Hawaii, United States
PAPR	Prospect Creek Airport	Prospect Creek, Alaska, United States
PAPO	Point Hope Airport	Point Hope, Alaska, United States
PAPN	Pilot Point Airport (FAA: PNP)	Pilot Point, Alaska, United States
PAPM	Platinum Airport	Platinum, Alaska, United States
PAPK	Napaskiak Airport	Napaskiak, Alaska, United States
PAPH	Port Heiden Airport	Port Heiden, Alaska, United States
PAPG	Petersburg James A. Johnson Airport	Petersburg, Alaska, United States
PAOC	Portage Creek Airport (FAA: A14)	Portage Creek, Alaska, United States
PALJ	Port Alsworth Airport (FAA: TPO)	Port Alsworth, Alaska, United States
PAAQ	Palmer Municipal Airport	Palmer, Alaska, United States
PAAP	Port Alexander Seaplane Base (FAA: AHP)	Port Alexander, Alaska, United States
PAAL	Port Moller Airport (FAA: 1AK3)	Cold Bay, Alaska, United States
OSPR	Palmyra Airport	Palmyra (Tadmur), Syria
OPZB	Zhob Airport	Zhob, Pakistan
OPPS	Bacha Khan International Airport	Peshawar, Pakistan
OPPI	Pasni Airport[1]	Pasni, Pakistan
OPPG	Panjgur Airport	Panjgur, Pakistan
OPPC	Parachinar Airport[1]	Parachinar, Pakistan
OITP	Parsabad-Moghan Airport[1]	Parsabad, Iran
OIIP	Payam International Airport[1]	Karaj, Iran
OIBP	Persian Gulf Airport[1]	Asaluyeh (Asaloyeh), Iran
NZPP	Kapiti Coast Airport	Paraparaumu Beach, New Zealand
NZPM	Palmerston North Airport	Palmerston North, New Zealand
NZOK	Picton Aerodrome	Picton, New Zealand
NWWQ	Mueo/Nickel Airport	Mueo, New Caledonia
NWWP	Malabou Airport[1]	Poum, New Caledonia
NVSI	Paama Airport[1]	Paama, Vanuatu
NTGQ	Pukarua Airport	Pukarua, Tuamotus, French Polynesia
NTGP	Puka-Puka Airport[1]	Puka-Puka, Tuamotus, French Polynesia
NTAA	Fa'a'ā International Airport	Papeete, Tahiti, French Polynesia
NSTU	Pago Pago International Airport	Pago Pago, American Samoa
NFND	Pacific Harbour Airport[1]	Pacific Harbour, Fiji
NFFO	Malolo Lailai Airport[1]	Malolo Lailai, Fiji
NCPY	Tongareva Airport[1]	Penrhyn Atoll, Cook Islands
NCPK	Pukapuka Island Airfield[1]	Pukapuka Island, Cook Islands
MZPL	Placencia Airport	Placencia, Belize
MZPG	Punta Gorda Airport[1]	Punta Gorda, Belize
MYCP	Pitts Town Airport[1]	Pitts Town, Crooked Island, Bahamas
MTPX	Port-de-Paix Airport[1]	Port-de-Paix, Haiti
MTPP	Toussaint L'Ouverture International Airport	Port-au-Prince, Haiti
MRPM	Palmar Sur Airport	Palmar Sur, Costa Rica
MRPJ	Puerto Jiménez Airport	Puerto Jiménez, Costa Rica
MRIA	Punta Islita Airport	Punta Islita, Costa Rica
MRCR	Carrillo Airport[1] (Playa Samara/Carrillo Airport)	Sámara / Puerto Carrillo, Costa Rica
MPVR	El Porvenir Airport[1]	El Porvenir, Panama
MPTO	Tocumen International Airport	Panama City, Panama
MPOA	Puerto Obaldia Airport[1]	Puerto Obaldía, Panama
MPMG	Albrook "Marcos A. Gelabert" International Airport	Panama City, Panama
MPLP	Captain Ramon Xatruch Airport[1]	La Palma, Panama
MNPC	Puerto Cabezas Airport	Puerto Cabezas, Nicaragua
